report_t_s,t,GNSS_vz_ms,GNSS_alt,pitch,roll
11.958367625026272,591.25,-6.638181818181806,608.31,-35,2
12.148172828044986,591.44,-6.540303030302994,607.13,-28,9
12.357957526118167,591.65,-6.641249999999957,605.97,-21,12
12.607701214300617,591.9,-6.786547619047553,604.69,-20,20
12.757547427210064,592.05,-6.8368181818182165,603.35,-17,19
12.94735263022878,592.24,-7.105840909090887,601.93,-14,21
13.167127075829363,592.46,-7.3313408521303245,600.47,-11,8
13.336952783793388,592.63,-7.653659147869689,598.92,-9,-5
13.576706724448547,592.87,-7.942000000000064,597.33,-9,-14
13.75652217993986,593.05,-8.28000000000003,595.7,-9,-17
13.956317130485866,593.25,-8.581818181818164,594.07,-11,-26
14.156112081031871,593.45,-8.899134199134267,592.45,-14,-28
14.345917284050474,593.64,-9.035296052631622,590.68,-12,-28
14.595660972232924,593.89,-9.031244444444553,588.81,-15,-31
14.75549693266966,594.05,-9.0,586.79,-19,-27
14.955291883215663,594.25,-8.650000000000034,584.7,-22,-19
15.165076581288957,594.46,-8.058421052631616,582.64,-23,-11
15.35488178430756,594.65,-7.282350000000008,580.68,-21,-5
15.60462547249001,594.9,-6.266875000000027,579.02,-17,-1
15.754471685399457,595.05,-5.049318181818194,577.7,-13,-1
15.954266635945462,595.25,-3.6906818181818153,576.77,-7,-2
16.164051334018755,595.46,-2.226315789473688,576.24,0,-4
16.363846284564648,595.66,-0.7484000000000606,576.03,5,-7
16.603600225219807,595.9,0.5219999999999914,576.15,11,-11
16.743456690601967,596.04,1.5860000000000127,576.66,13,-13
16.96323113620255,596.26,2.5871190476190122,577.35,15,-17
17.153036339221263,596.45,3.198880952380989,578.14,16,-20
17.342841542239867,596.64,3.6195000000000164,579.04,17,-23
17.592585230422316,596.89,3.822499999999991,580.0,18,-26
17.742431443331764,597.04,3.7549999999999955,580.96,18,-28
17.942226393877768,597.24,3.546363636363594,581.84,18,-29
18.142021344423775,597.44,3.1807894736842286,582.63,18,-30
18.341816294969664,597.64,2.6981250000000614,583.29,17,-30
18.6015497306794,597.9,2.1288333333333753,583.81,15,-28
18.74140619606156,598.04,1.6147222222221558,584.17,13,-26
18.941201146607565,598.24,1.065499999999986,584.38,11,-23
19.14099609715357,598.44,0.5049999999999955,584.46,7,-20
19.330801300172173,598.63,-0.003249999999979991,584.44,4,-15
19.570555240827332,598.87,-0.4900000000000091,584.35,-1,-10
19.750370696318647,599.05,-1.0124999999999318,584.18,-5,-5
19.95016564686465,599.25,-1.4610000000000127,583.96,-9,0
20.13997084988337,599.44,-1.8600000000000136,583.64,-13,5
20.33976580042926,599.64,-2.243325000000027,583.23,-17,9
20.57951974108442,599.88,-2.5602777777777987,582.75,-20,12
20.739355701521156,600.04,-2.866222222222177,582.19,-21,14
20.939150652067163,600.24,-3.085999999999956,581.5,-22,14
21.138945602613166,600.44,-3.2281818181819517,580.74,-22,14
21.328750805631767,600.63,-3.283886363636384,579.98,-22,12
21.57849449381422,600.88,-3.3276470588235156,579.22,-20,8
21.728340706723664,601.03,-3.254852941176466,578.49,-19,5
21.92813565726967,601.23,-3.098678571428593,577.83,-16,2
22.12793060781556,601.43,-2.86950000000013,577.21,-14,0
22.347705053416146,601.65,-2.549599999999998,576.63,-11,-2
22.567479499016727,601.87,-2.310200000000009,576.12,-9,-4
22.73730520698075,602.04,-1.968500000000006,575.69,-8,-5
