report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,roll,G_force,vario
6.50019150398912,323.95,23.06683943744034,18.81497207426959,3,-1,0.93,-0.29
6.6900021889322066,324.14,22.898261006959828,12.492086765680064,1,-1,0.92,-0.45
6.919773018073858,324.37,22.898261006959828,9.005463657720794,-1,-2,0.92,-0.63
7.089603630917691,324.54,23.122759130257755,6.875162926088718,-2,-2,0.93,-0.76
7.329364496108913,324.78,23.945889255671794,5.519672826867119,-3,-2,0.98,-0.86
7.499195108952745,324.95,24.871801404442756,4.602498777995083,-4,-3,0.91,-0.97
7.689005793895832,325.14,25.334811595341073,3.946882587489495,-5,-4,0.69,-1.45
7.908786586987857,325.36,25.537899506899343,3.4609414372236333,-7,-4,0.55,-2.33
8.098597271930943,325.55,25.46193136782031,3.1014093860029823,-7,-5,0.62,-3.15
8.328368101072538,325.78,25.91439990524534,2.8501955199022846,-7,-6,0.88,-3.53
8.49819871391637,325.95,26.112980586329872,2.6879432554201355,-6,-8,1.0,-3.62
8.688009398859457,326.14,26.187060112714803,2.591593930853566,-5,-9,1.16,-3.43
8.907790191951483,326.36,26.408051879713366,2.533140143491681,-4,-8,1.27,-2.89
9.097600876894568,326.55,25.613642331175544,2.4988161981027455,-4,-8,1.12,-2.59
9.327371706036164,326.78,25.964187462969928,2.4781401037583084,-4,-8,0.94,-2.66
9.507192354929623,326.96,25.91439990524534,2.45981122699825,-3,-6,0.91,-2.8
9.69700303987271,327.15,25.283784732673293,2.438643523920842,-1,-5,0.93,-2.94
9.886813724815797,327.34,25.537899506899343,2.420134872610054,1,-4,0.98,-2.99
10.076624409758882,327.53,25.88947022183627,2.402541410630875,2,-3,1.03,-2.94
10.326375310999788,327.78,26.285508054315198,2.371252069395164,2,-2,0.98,-2.94
10.49620592384362,327.95,26.285508054315198,2.3240677409220023,1,-1,0.93,-3.03
10.686016608786707,328.14,26.408051879713366,2.2571893708012545,1,1,0.83,-3.28
10.875827293729794,328.33,26.260930668806022,2.180343642869892,1,2,0.84,-3.56
11.09560808682182,328.55,26.456910481855164,2.0949859265428414,2,5,0.84,-3.87
11.325378915963414,328.78,22.98270478833497,1.998477411331933,3,8,0.99,-3.9
11.485219492757619,328.94,19.814187866685995,1.899985897930151,2,11,1.01,-3.8
11.69501024979996,329.15,14.77348096407608,1.814632282961382,-1,15,1.07,-3.68
11.904801006842357,329.36,13.39821321471407,1.7437339371731837,-5,17,1.24,-3.37
12.094611691785444,329.55,17.678571428571427,1.6936936957464142,-7,17,1.27,-3.06
12.32438252092704,329.78,18.429661512610256,1.6622894802020143,-10,18,0.94,-3.37
12.474233061671617,329.93,20.675379102217406,1.6487038569917323,-9,23,0.77,-3.85
12.684023818713959,330.14,28.090540113667288,1.6591670338066853,-8,29,0.74,-4.51
12.893814575756355,330.35,33.71171297689772,1.6886782106230105,-8,31,0.83,-4.99
13.083625260699442,330.54,37.36391122788001,1.7457356781983098,-9,31,0.98,-5.26
13.30340605379141,330.76,40.25884837459933,1.8395989505852581,-8,26,1.21,-5.24
13.473236666635243,330.93,40.68960718233909,1.9791417076769344,-8,21,1.39,-4.94
13.69301745972721,331.15,40.626079263528865,2.1505713308062524,-7,15,1.5,-4.24
13.882828144670297,331.34,40.43489665310075,2.3558399143203874,-3,9,1.41,-3.61
14.082628865663068,331.54,39.317560144473426,2.5948207135387764,0,5,1.24,-3.2
14.332379766903975,331.79,38.60489619470672,2.8709790807539157,2,0,1.1,-3.02
14.492220343698122,331.95,38.218249126909654,3.186786473380237,3,-2,1.1,-2.95
14.682031028641209,332.14,37.99796919922571,3.539151490520328,3,-6,1.15,-2.75
14.891821785683605,332.35,37.99796919922571,3.9380734914213837,2,-10,1.18,-2.45
15.101612542725947,332.56,38.25202575668112,4.369931128661011,0,-14,1.17,-2.19
15.341373407917226,332.8,37.22539764182294,4.7935341498404,-1,-16,1.11,-2.02
15.48123391261212,332.94,36.11604383717823,5.150363658723887,-1,-17,1.07,-1.99
15.701014705704145,333.16,34.860554941313346,5.45729901472157,0,-17,0.99,-2.04
15.890825390647231,333.35,33.71171297689772,5.684406436576205,3,-17,0.96,-2.18
16.090626111639946,333.55,33.073578686662515,5.824645003917474,4,-16,0.95,-2.35
16.34037701288085,333.8,33.09309688174393,5.903980355160901,5,-13,0.95,-2.51
16.500217589675,333.96,32.85811333970497,5.932996506287964,5,-11,1.01,-2.49
16.690028274618086,334.15,32.383031270801595,5.931383724413499,5,-8,1.06,-2.38
16.879838959561173,334.34,31.697811841043602,5.898894959141166,5,-5,1.07,-2.24
17.08962971660357,334.55,31.328981822600237,5.838240164023319,5,-2,1.0,-2.16
17.32939058179485,334.79,31.34958621931793,5.764466193126391,5,2,1.0,-2.07
17.499221194638626,334.96,31.26708716519526,5.668267542976209,5,4,1.0,-2.01
17.689031879581712,335.15,31.142928817086585,5.548393831176541,5,6,0.99,-1.95
