report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,vario
5.857777430013318,409.35,35.57562367689427,8.792776455277366,1,-1.27
6.097641544366248,409.59,35.17403886681314,9.154132859813608,2,-1.22
6.257550953934925,409.75,34.82348895003287,9.531743360273342,2,-1.2
6.46743205399376,409.96,34.60025915616051,9.945705452544896,3,-1.09
6.667318815954621,410.16,34.31918009581492,10.401837185065753,3,-1.01
6.867205577915424,410.36,33.940787274551056,10.866696182160828,3,-0.95
7.107069692268412,410.6,33.5388804986398,11.352156440724965,3,-0.91
7.256984763739,410.75,33.171054815170116,11.85425357199033,3,-0.9
7.456871525699803,410.95,32.72026029348589,12.432709182302288,4,-0.86
7.656758287660607,411.15,32.34312610312195,13.020631418846099,4,-0.78
7.846650711523379,411.34,32.08253267840967,13.561404551460818,4,-0.69
8.086514825876366,411.58,31.411318316290814,14.04238329471255,4,-0.59
8.256418573543074,411.75,31.0390841504378,14.427520838313962,5,-0.52
8.46629967360191,411.96,30.451010338119236,14.564410543377212,4,-0.48
8.656192097464682,412.15,30.045405689742722,14.481315584694244,4,-0.49
8.856078859425542,412.35,29.69954777021195,14.183119952047392,4,-0.52
9.095942973778472,412.59,29.26147734005323,13.68084164734226,3,-0.6
9.255852383347149,412.75,28.726976140263446,12.976762522727222,3,-0.64
9.455739145307954,412.95,28.296669956237693,12.168347462234141,3,-0.7
9.655625907268757,413.15,28.2281272557594,11.282824092185347,3,-0.76
9.855512669229617,413.35,27.533317016268985,10.403995662373637,2,-0.82
10.095376783582548,413.59,26.79642642942814,9.579813628898371,2,-0.89
10.245291855053193,413.74,26.48130597849227,8.803601887785465,2,-0.93
10.46516729321006,413.96,26.013879733240678,8.11977285918567,1,-1.0
10.66505405517092,414.16,25.48727924006845,7.508334336031759,1,-1.11
10.864940817131723,414.36,25.46193136782031,6.970715299492917,1,-1.23
11.08481625528859,414.58,25.07863907302591,6.498638847428721,0,-1.35
11.274708679151363,414.77,25.10437395827139,6.105371625581021,0,-1.4
11.454606764916102,414.95,25.052877752335547,5.758819570943909,0,-1.44
11.654493526876907,415.15,25.436558236089233,5.470425360716593,-1,-1.52
11.854380288837767,415.35,25.789510504094807,5.220196991622949,-2,-1.65
12.094244403190697,415.59,25.46193136782031,5.0018690079241654,-2,-1.79
12.254153812759373,415.75,25.613642331175544,4.807729791864554,-2,-1.85
12.464034912818208,415.96,25.258232644556323,4.643331972845717,-1,-1.9
12.66392167477907,416.16,25.258232644556323,4.501008461297754,-1,-1.87
12.853814098641841,416.35,25.411159769210187,4.382871706578829,-1,-1.83
13.09367821299477,416.59,25.588419634431414,4.287355932754185,-1,-1.86
13.25358762256345,416.75,25.71428571428571,4.1984528558503795,-1,-1.93
13.453474384524252,416.95,25.38573589113961,4.1249515230871685,-1,-2.02
13.663355484583144,417.16,25.537899506899343,4.054711462380462,-1,-2.06
13.87323658464198,417.37,25.964187462969928,3.989745577701389,-1,-2.05
14.103106360896934,417.6,26.038690306103014,3.931008330873982,-1,-1.99
14.253021432367524,417.75,25.613642331175544,3.8866088196264132,-1,-1.96
14.452908194328327,417.95,25.30931102360939,3.851290102763591,0,-1.96
14.65279495628913,418.15,24.897750082761963,3.8239553672594515,0,-1.99
14.862676056348022,418.36,24.5582787695402,3.7986984500711722,0,-2.05
15.082551494504889,418.58,24.187366516005657,3.7730389442315557,0,-2.12
15.26244958026963,418.76,24.400006795750137,3.7597436912713476,0,-2.16
15.462336342230433,418.96,24.58455836910807,3.7467421688689906,0,-2.17
15.662223104191293,419.16,24.133913706987652,3.7478500015770604,0,-2.13
15.852115528054066,419.35,23.918907963434812,3.7649167590271695,0,-2.04
16.081985304308965,419.58,23.810677055403836,3.7980303642891102,-1,-1.98
16.251889051975674,419.75,23.620079662552076,3.836659052676219,-1,-1.98
16.451775813936475,419.95,23.729179918232248,3.8856621933858366,-1,-2.03
16.65166257589728,420.15,24.187366516005657,3.946422588977364,-2,-2.09
16.86154367595617,420.36,24.267324970513126,4.0254019338396825,-2,-2.1
17.10140779030916,420.6,24.637033473357683,4.125187434421325,-2,-2.05
17.251322861779748,420.75,25.001275477667217,4.241965185422046,-2,-2.01
17.45120962374055,420.95,26.187060112714803,4.396312621339602,-2,-1.95
17.651096385701354,421.15,26.772318078681987,4.575389920021245,-2,-1.9
17.850983147662216,421.35,27.439346376906226,4.781986509453108,-2,-1.85
18.07085858581908,421.57,27.813324053373396,5.014214617108729,-2,-1.77
18.250756671583822,421.75,27.859718287542403,5.294808391732136,-1,-1.67
18.450643433544627,421.95,27.906035390655006,5.616735306231975,-1,-1.53
18.65053019550543,422.15,27.906035390655006,5.987948215128489,-1,-1.41
18.860411295564322,422.36,27.859718287542403,6.401831112221173,0,-1.27
19.080286733721188,422.58,28.044527732060054,6.850250251556652,0,-1.18
19.26018481948593,422.76,28.27384085211297,7.330852350574286,1,-1.13
19.460071581446734,422.96,28.159417716324477,7.7827969191207,1,-1.07
19.65995834340759,423.16,27.439346376906226,8.212482866441068,2,-1.0
19.849850767270365,423.35,27.06020074363297,8.579756624438392,3,-0.93
20.099709219721383,423.6,26.383588649006786,8.860174085093531,4,-0.89
20.259618629290003,423.76,25.664013357864608,8.973391372535826,4,-0.89
20.449511053152776,423.95,25.38573589113961,8.914187888879583,5,-0.9
20.649397815113577,424.15,24.949566476132176,8.670918786990356,5,-0.96
20.84928457707444,424.35,24.267324970513126,8.289718601631014,4,-1.04
21.079154353329336,424.58,23.945889255671794,7.813752385431593,3,-1.11
21.259052439094077,424.76,23.701951934602434,7.294588484137562,3,-1.17
21.458939201054882,424.96,23.6746926364118,6.765793865168652,3,-1.27
21.648831624917655,425.15,23.31742199230753,6.242701149618242,2,-1.41
21.848718386878513,425.35,22.81350466057241,5.779581874581791,1,-1.57
22.088582501231443,425.59,23.010783851694136,5.370828365787213,1,-1.73
22.25848624889815,425.76,23.094816208714146,5.023240777326849,0,-1.81
22.448378672760924,425.95,23.206386018525507,4.738187844556521,-1,-1.88
22.64826543472173,426.15,23.51047313302681,4.519187043386783,-2,-1.97
22.848152196682587,426.35,23.756376694973273,4.349370716089116,-3,-2.05
23.08801631103552,426.59,24.267324970513126,4.228887404802216,-4,-2.14
23.25792005870223,426.76,24.975434359157227,4.150076197693164,-4,-2.18
23.437818144466966,426.94,25.130082489286966,4.114633455923437,-4,-2.18
23.647699244525803,427.15,25.537899506899343,4.124819785038074,-4,-2.12
23.857580344584694,427.36,25.88947022183627,4.159792980957457,-4,-2.09
24.077455782741563,427.58,26.505679021827813,4.217781144423739,-4,-2.06
24.257353868506303,427.76,26.79642642942814,4.306809198671117,-3,-2.03
24.457240630467105,427.96,26.868621692090066,4.415644961507161,-2,-1.93
24.647133054329878,428.15,27.10788395373161,4.5360850949704865,-1,-1.8
24.84701981629074,428.35,27.13169413307271,4.6736591781782115,0,-1.68
25.08688393064367,428.59,27.25043296791402,4.818107900942806,0,-1.58
25.246793340212346,428.75,27.202999628267285,4.958054484673187,1,-1.55
25.44668010217315,428.95,27.084052842352577,5.074211477469306,2,-1.55
25.646566864133952,429.15,26.675666795407228,5.151376425976311,3,-1.52
25.836459287996725,429.34,26.310062481018587,5.191484241932912,3,-1.46
26.07632340234971,429.58,25.88947022183627,5.192036249729815,4,-1.41
26.256221488114452,429.76,25.20705076289698,5.132534260376718,4,-1.38
26.446113911977225,429.95,24.68939704672053,5.020773806127119,4,-1.33
26.646000673938026,430.15,24.320484563177498,4.877904197539762,3,-1.37
26.845887435898888,430.35,24.080342245347367,4.695673730824886,3,-1.5
27.095745888349906,430.6,23.810677055403836,4.490168251317969,3,-1.77
27.245660959820494,430.75,23.701951934602434,4.279987522960417,3,-1.91
27.4455477217813,430.95,23.6746926364118,4.084832391205983,2,-2.07
27.6454344837421,431.15,23.864853865045976,3.907262538443462,1,-2.17
27.845321245702962,431.35,24.21404867140612,3.758383334530488,1,-2.23
28.085185360055892,431.59,24.267324970513126,3.634501227120929,0,-2.22
28.235100431526536,431.74,24.133913706987652,3.54287607697578,-1,-2.2
28.454975869683405,431.96,24.267324970513126,3.4859953369334757,-1,-2.19
28.654862631644264,432.16,23.999760840645123,3.449736440409991,-2,-2.23
28.85474939360507,432.36,24.107142857142858,3.4400813734134146,-2,-2.28
29.094613507958055,432.6,24.5582787695402,3.454799186709794,-2,-2.34
29.244528579428643,432.75,25.001275477667217,3.4879116317941268,-2,-2.37
29.444415341389448,432.95,25.588419634431414,3.536785201452788,-2,-2.35
29.644302103350253,433.15,26.112980586329872,3.601550396395203,-2,-2.28
29.84418886531111,433.35,26.820513109733522,3.6662485897060777,-2,-2.19
30.08405297966404,433.59,26.79642642942814,3.73001385898525,-2,-2.11
30.25395672733075,433.76,26.627209595005,3.78388627241013,-1,-2.05
30.453843489291554,433.96,26.820513109733522,3.8123519334706906,0,-2.02
30.653730251252416,434.16,26.675666795407228,3.817973575104429,1,-2.06
30.853617013213217,434.36,26.187060112714803,3.7920930098687786,1,-2.07
31.083486789468118,434.59,25.739385071861193,3.7304348805760235,2,-2.07
31.243396199036795,434.75,25.839538699521736,3.634735608740442,2,-2.1
31.443282960997596,434.95,25.86451650979995,3.511807322404185,2,-2.18
31.6431697229584,435.15,25.38573589113961,3.3584264913692463,2,-2.27
31.843056484919263,435.35,24.871801404442756,3.184799668458112,3,-2.35
32.08292059927219,435.59,24.53197101826138,3.0047730137620827,3,-2.48
32.24283000884087,435.75,24.68939704672053,2.8186878591488918,3,-2.6
32.442716770801674,435.95,24.58455836910807,2.64120531497592,2,-2.83
32.65259787086056,436.16,24.479270697419704,2.4751380249768173,3,-3.08
32.852484632821366,436.36,24.293919307228354,2.3182865565843302,2,-3.32
33.08235440907627,436.59,24.347020833551433,2.1738200185628185,2,-3.65
33.252258156742975,436.76,24.053511772118192,2.0409505026343138,2,-3.85
33.45214491870378,436.96,24.053511772118192,1.9167823326197746,3,-3.9
33.65203168066464,437.16,22.841791719994113,1.8094326679335926,3,-3.8
33.85191844262544,437.36,22.18206494224649,1.7173910835754707,3,-3.7
34.07179388078231,437.58,22.065316421377467,1.6417345964705663,1,-3.68
34.231703290350985,437.74,22.442528641771514,1.5817537369586965,0,-3.76
34.451578728507855,437.96,23.06683943744034,1.5366425769818277,-2,-4.01
34.651465490468716,438.16,23.945889255671794,1.5054467594890069,-4,-4.25
34.851352252429514,438.36,25.537899506899343,1.4898967099014624,-7,-4.37
