report_t_s,t,IAS_kmh,pitch,roll,GNSS_alt,GNSS_vz_ms
25.79933310361769,605.62,37.43297581773894,-4,2,609.26,-4.003333333333233
25.98932990137498,605.81,37.72508976741054,-3,0,608.43,-4.295766917293155
26.229325856436898,606.05,38.014959125940656,-2,-3,607.58,-4.608010204081568
26.37932332835068,606.2,38.487632190518724,-2,-4,606.75,-4.78421052631586
26.589319789029773,606.41,39.790987724378404,-1,-7,605.88,-4.974065934065932
26.779316586787175,606.6,41.021514701036416,0,-9,605.1,-5.121428571428607
26.979313216005362,606.8,41.22564215908069,1,-12,604.36,-5.237318295739328
27.229309002528186,607.05,40.450863049242486,3,-15,603.63,-5.218882921589723
27.379306474441968,607.2,39.33398009095848,5,-18,602.97,-5.16759398496239
27.58930293512106,607.41,37.10377408054884,4,-23,602.33,-5.085769230769221
27.77929973287846,607.6,34.431887066188736,6,-30,601.7,-4.988011204481771
27.97929636209665,607.8,35.41188943371005,0,-40,601.09,-4.854693877551069
28.209292485697667,608.03,36.38324385858783,-12,-48,600.4,-4.709523809523846
28.38928945199416,608.21,36.38324385858783,-17,-49,599.62,-4.593827425707088
28.58928608121235,608.41,36.80672943406753,-18,-49,598.6,-4.47605274725275
28.77928287896975,608.6,37.570724124303084,-19,-50,597.42,-4.362510204081657
28.969279676727034,608.79,38.03194146278325,-17,-52,596.02,-4.204502164502189
29.259274789093585,609.08,42.65745891424392,-11,-54,594.32,-4.01518796992478
29.379272766624545,609.2,40.450863049242486,-5,-54,592.37,-3.941367704976691
29.579269395842733,609.4,37.87882633733359,3,-49,589.91,-3.8337785714285735
29.779266025061037,609.6,32.442796989942345,2,-44,587.62,-3.731700680272102
29.969262822818322,609.79,23.6746926364118,5,-40,585.54,-3.6265306122449408
30.22925844080205,610.05,32.26316769624332,7,-33,583.61,-3.510676691729356
30.379255912715834,610.2,32.62143717351071,6,-25,582.06,-3.4609523809523677
30.589252373394928,610.41,36.6661110424816,3,-13,580.94,-3.4049714285714248
30.779249171152326,610.6,41.241302422573945,1,-5,580.78,-3.3542857142857168
