report_t_s,t,G_force,GNSS_vz_ms,GNSS_alt,pitch,roll
13.137650867789917,533.65,0.96,-7.772291666666604,784.76,-6,23
13.36741506091779,533.88,1.09,-7.893235294117687,782.98,-8,8
13.547230516409103,534.06,1.14,-8.108666666666693,781.25,-11,0
13.72704597190053,534.24,1.16,-8.294666666666672,779.52,-12,-9
13.936830669973823,534.45,1.24,-8.462380952380954,777.83,-10,-27
14.126635872992425,534.64,1.19,-8.507619047619073,776.19,7,-52
14.366389813647586,534.88,1.11,-8.501666666666722,774.64,20,-78
14.536215521611611,535.05,0.94,-8.565408496732061,772.99,31,-86
14.736010472157616,535.25,0.96,-8.469761904761924,771.31,33,-90
14.925815675176333,535.44,0.99,-8.48523809523806,769.55,26,-91
15.135600373249513,535.65,1.19,-8.337253787878865,767.74,9,-40
15.375354313904673,535.89,1.35,-8.521470588235275,765.9,2,-8
15.545180021868697,536.06,1.61,-8.718749999999943,764.11,-2,4
15.734985224887414,536.25,1.65,-8.979999999999961,762.5,-3,8
15.92479042790613,536.44,1.46,-9.273250000000075,760.94,-8,16
16.1445648735066,536.66,0.96,-9.848066666666568,759.38,-5,32
16.36433931910718,536.88,0.76,-10.285133333333363,757.62,-2,48
16.534165027071207,537.05,0.63,-10.9076470588235,755.58,-2,62
