report_t_s,t,IAS_kmh,pitch,roll,GNSS_alt,GNSS_vz_ms,Glide_ratio_GNSS
9.350853149830549,658.78,33.132098777284774,-2,-1,478.46,-2.1145578231292625,5.127203642999643
9.630848430736084,659.06,33.71171297689772,-3,-2,477.95,-2.094282060650341,5.192063266873736
9.780845902649867,659.21,33.86460134845523,-4,-2,477.41,-2.072491883116868,5.258919795324325
9.99084236332896,659.42,34.26268757999117,-4,-2,476.87,-2.037515527950307,5.330405061892382
10.18083916108636,659.61,34.46937416174016,-5,-2,476.33,-2.0052661064425803,5.403693428014018
10.380835790304548,659.81,34.71205349966011,-4,-2,475.77,-1.9697987012987141,5.479348660153594
10.640831408288388,660.07,35.155676015722534,-4,-2,475.23,-1.933003938417471,5.5577511101908295
10.770829217280252,660.2,35.320597996879144,-4,-1,474.66,-1.9177157178660877,5.637218464524029
10.980825677959345,660.41,35.79277090390728,-4,-1,474.08,-1.8995365504061152,5.722427952754063
11.170822475716744,660.6,36.008608664584415,-3,-1,473.52,-1.8849523809523703,5.809732755127834
11.380818936395837,660.81,36.41872240807927,-2,-1,472.98,-1.8571291866028818,5.900693267383423
11.680813880223292,661.11,37.016655448760424,0,1,472.45,-1.8248051948051998,5.993597538029465
11.780812194832443,661.21,37.39845946570745,1,1,471.96,-1.8074777853725226,6.083991322251031
11.980808824050632,661.41,37.81057614434547,1,2,471.47,-1.774099378881983,6.181973655474769
12.170805621808032,661.6,37.69084092715256,1,3,471.02,-1.738532212885153,6.283350259106455
12.370802251026221,661.8,37.53633443826427,4,3,470.59,-1.698007518797007,6.386339402285436
12.620798037549044,662.05,36.89434376758606,4,3,470.17,-1.6413345864661844,6.493354028376877
12.780795340923731,662.21,36.2943957556164,5,1,469.88,-1.6015037593984889,6.6032437655887755
12.990791801602825,662.42,34.58159162895537,4,1,469.62,-1.5634523809523801,6.712084749758362
13.160788936438417,662.59,33.151582518326144,4,1,469.44,-1.5334285714285525,6.8224232479466735
13.380785228578413,662.81,31.81980515339464,5,0,469.29,-1.472585034013613,6.931313778879926
13.610781352179428,663.04,31.554890222258344,6,1,469.24,-1.4195975232198228,7.0334064614626755
13.760778824093212,663.19,31.534419970203082,6,1,469.19,-1.3856870748299133,7.130743978087647
13.98077511623321,663.41,30.302208699050578,6,1,469.1,-1.3431868131868245,7.22230554138802
14.170771913990608,663.6,30.28089163084838,5,1,469.01,-1.3096121525533542,7.306256084997642
14.380768374669701,663.81,29.525099578190094,4,0,468.88,-1.2535159326888723,7.387847144190631
14.610764498270715,664.04,28.659462589489834,3,-2,468.73,-1.2188721804511309,7.466724341181989
14.7607619701845,664.19,28.319480657206224,2,-3,468.6,-1.196530612244885,7.543077303595028
14.980758262324496,664.41,27.62696802482853,1,-4,468.44,-1.1739047619047693,7.617577573640908
15.160755228620992,664.59,28.136477250018636,1,-4,468.28,-1.1694285714285846,7.689577490047468
