report_t_s,t,IAS_kmh,pitch,roll,GNSS_vz_ms
9.770065068527282,619.81,24.133913706987652,-2,5,-1.3058823529411825
9.919915609271916,619.96,24.400006795750137,-2,5,-1.3100000000000023
10.119716330264573,620.16,24.819822661307946,-3,4,-1.351428571428528
10.32950708730697,620.37,24.845825625654065,-2,4,-1.3505921052631038
10.509327736200373,620.55,25.232654680887183,-2,4,-1.361249999999984
10.749088601391653,620.79,25.989045474851082,-2,4,-1.369799999999998
10.918919214235542,620.96,25.71428571428571,-2,4,-1.366428571428571
11.108729899178572,621.15,25.814536721050192,-2,5,-1.346071428571463
11.318520656220969,621.36,25.86451650979995,-1,5,-1.3464285714285893
11.508331341163998,621.55,25.939305629307274,-1,5,-1.3349999999999795
11.758082242404905,621.8,26.063477261078873,0,6,-1.3489338235293644
11.907932783149539,621.95,26.187060112714803,0,6,-1.3546078431372166
12.117723540191824,622.16,26.112980586329872,1,6,-1.3454761904762336
12.317524261184595,622.36,26.13769709028845,1,6,-1.3550000000000182
12.507334946127624,622.55,26.038690306103014,1,6,-1.375
12.737105775269276,622.78,25.91439990524534,1,7,-1.389949999999942
12.896946352063537,622.94,26.038690306103014,2,7,-1.4086666666666474
13.106737109105822,623.15,26.063477261078873,2,7,-1.4241558441558482
13.316527866148219,623.36,26.013879733240678,2,6,-1.4376315789473892
13.506338551091249,623.55,25.964187462969928,2,6,-1.4510416666666401
13.746099416282528,623.79,25.91439990524534,2,6,-1.4497977941176146
13.895949957027163,623.94,25.88947022183627,1,6,-1.4467647058824014
14.115730750119074,624.16,25.91439990524534,1,5,-1.4480952380952203
14.305541435062217,624.35,25.939305629307274,1,5,-1.4669047619047433
14.495352120005247,624.54,25.964187462969928,1,5,-1.4428947368421063
14.735112985196526,624.78,25.76445997802367,1,5,-1.420480769230835
14.904943598040415,624.95,25.739385071861193,1,4,-1.4077272727272998
15.1147343550827,625.16,25.563172050943177,1,4,-1.384999999999991
15.304545040025843,625.35,25.71428571428571,1,4,-1.3829999999999814
15.494355724968873,625.54,25.63884021462399,1,4,-1.377631578947387
15.754096662259405,625.8,25.360286525452764,1,4,-1.3767647058824082
15.90394720300404,625.95,25.38573589113961,1,4,-1.3767647058823513
16.113737960046326,626.16,25.30931102360939,1,4,-1.3899999999999864
16.313538681039095,626.36,25.334811595341073,1,4,-1.3860401002505682
16.503349365982125,626.55,25.512601928122837,1,4,-1.4069963369963716
16.743110231173404,626.79,25.739385071861193,1,5,-1.4180769230768533
16.912940844017292,626.96,25.512601928122837,1,5,-1.4538095238095252
17.11274156500995,627.16,25.63884021462399,1,5,-1.4850000000000136
17.30255224995309,627.35,25.88947022183627,1,6,-1.5219999999999914
17.512343006995376,627.56,25.739385071861193,1,6,-1.5189583333333871
17.772083944286024,627.82,25.939305629307274,0,6,-1.5479411764706015
17.91194444898092,627.96,25.814536721050192,0,6,-1.556176470588241
18.111745169973574,628.16,25.71428571428571,0,6,-1.5900000000000318
18.301555854916717,628.35,25.839538699521736,0,6,-1.5950000000000273
18.511346611959002,628.56,26.162390243731668,1,6,-1.6050000000000182
18.75110747715028,628.8,26.285508054315198,1,6,-1.62653846153853
18.92093808999417,628.97,26.236330259969744,1,5,-1.6122500000000173
19.1107487749372,629.16,26.08824066548774,1,5,-1.6399999999999864
19.300559459880343,629.35,26.038690306103014,1,5,-1.6400000000000432
19.510350216922628,629.56,25.739385071861193,1,5,-1.6499999999999773
19.750111082113907,629.8,25.537899506899343,1,5,-1.6450000000000387
19.919941694957796,629.97,25.38573589113961,1,5,-1.6499999999999773
20.109752379900826,630.16,25.411159769210187,1,5,-1.6399999999999864
20.29956306484397,630.35,25.588419634431414,1,5,-1.6499999999999773
20.509353821886254,630.56,25.436558236089233,1,5,-1.634999999999991
20.749114687077533,630.8,25.613642331175544,1,5,-1.6603125000000318
20.918945299921422,630.97,25.360286525452764,1,5,-1.661190476190427
21.10875598486445,631.16,25.130082489286966,1,6,-1.6399999999999864
21.298566669807595,631.35,25.052877752335547,1,6,-1.622000000000014
21.50835742684988,631.56,25.027089914567306,1,6,-1.6366666666665424
21.73812825599153,631.79,25.001275477667217,1,6,-1.6364950980392337
21.897968832785793,631.95,25.258232644556323,1,5,-1.6432352941176305
22.107759589828078,632.16,25.563172050943177,1,5,-1.6200000000000045
22.307560310820847,632.36,26.013879733240678,0,5,-1.6152506265664215
22.517351067863245,632.57,26.063477261078873,0,5,-1.6148913043477933
22.72714182490553,632.78,26.260930668806022,1,4,-1.5776086956521453
22.89697243774942,632.95,26.432492469747633,0,4,-1.5200000000000387
23.1067631947917,633.16,26.432492469747633,1,4,-1.4800000000000182
23.296573879734844,633.35,26.408051879713366,1,4,-1.4279999999999404
23.486384564677873,633.54,26.063477261078873,1,3,-1.369523809523855
23.726145429869153,633.78,26.187060112714803,1,3,-1.3100000000000023
23.89597604271304,633.95,25.839538699521736,1,3,-1.240000000000009
24.105766799755326,634.16,25.63884021462399,1,3,-1.1949999999999932
24.29557748469847,634.35,25.436558236089233,2,3,-1.1123809523809882
24.505368241740754,634.56,25.63884021462399,2,2,-1.0633333333333326
24.72514903483278,634.78,25.964187462969928,3,2,-1.0349999999999682
24.894979647676667,634.95,26.359102714591163,3,2,-1.0049999999999955
25.104770404718952,635.16,25.76445997802367,3,2,-0.964999999999975
25.31456116176135,635.37,25.48727924006845,3,2,-0.9635714285714698
25.50437184670438,635.56,24.819822661307946,3,2,-0.9499999999999886
25.724152639796404,635.78,23.999760840645123,3,2,-0.9560526315789275
25.893983252640293,635.95,23.6746926364118,3,2,-0.9689473684210839
26.103774009682578,636.16,23.620079662552076,3,2,-0.9861904761904725
26.29358469462572,636.35,23.400353215544524,2,3,-1.0314285714285916
26.503375451668006,636.56,23.15066832464132,2,3,-1.049047619047542
26.7131662087104,636.77,23.206386018525507,2,2,-1.0856324110672517
26.902976893653545,636.96,23.178543913697073,1,2,-1.1686090225563817
27.092787578596575,637.15,23.345098467322423,1,2,-1.2366666666666788
27.302578335638973,637.36,23.289712627804455,0,1,-1.284423558897231
27.51236909268137,637.57,23.482991565325374,-1,1,-1.371488095238135
27.742139921822908,637.8,23.289712627804455,-1,1,-1.4262538699690595
27.891990462567545,637.95,23.206386018525507,-1,1,-1.4810526315789048
28.081801147510575,638.14,23.15066832464132,-1,1,-1.527552631578942
28.29159190455297,638.35,23.178543913697073,-2,1,-1.5728571428571172
28.481402589496,638.54,23.122759130257755,-2,1,-1.6289097744361243
28.72116345468728,638.78,23.206386018525507,-2,1,-1.650525362318831
28.890994067531167,638.95,23.42793172036058,-3,1,-1.6550000000000296
29.090794788523826,639.15,23.42793172036058,-3,2,-1.6599999999999682
29.300585545566225,639.36,24.267324970513126,-3,2,-1.6579573934837413
29.490396230509255,639.55,24.637033473357683,-3,2,-1.6210119047618718
29.730157095700534,639.79,24.68939704672053,-3,2,-1.5846691176470244
29.899987708544423,639.96,24.897750082761963,-2,2,-1.5683181818181993
30.079808357437823,640.14,25.537899506899343,-2,2,-1.5216818181817757
30.28959911448022,640.35,25.86451650979995,-1,3,-1.488333333333344
30.499389871522506,640.56,25.76445997802367,-1,3,-1.4229166666666515
30.739150736713786,640.8,26.383588649006786,-1,3,-1.3700000000000045
30.879011241408794,640.94,26.675666795407228,0,4,-1.3205882352941103
31.098792034500704,641.16,27.155483435436107,0,4,-1.2702380952381418
31.288602719443848,641.35,26.96458136072547,1,4,-1.2379545454545564
31.498393476486132,641.56,27.036327602026162,1,4,-1.2142105263157532
31.73815434167741,641.8,26.892643710023858,2,4,-1.1907999999999674
31.9079849545213,641.97,26.820513109733522,2,4,-1.1572727272727548
32.09779563946433,642.16,26.699862416522382,2,4,-1.1650000000000205
32.31757643255635,642.38,26.578664049441258,2,4,-1.1394360902255585
32.5073871174995,642.57,26.359102714591163,3,5,-1.1544230769230808
