report_t_s,t,IAS_kmh,pitch,roll,GNSS_alt,GNSS_vz_ms,Glide_ratio_GNSS
10.174472542358965,628.2,25.563172050943177,7,2,560.01,-1.4890303030302903,4.432437431501687
10.36446934011625,628.39,25.232654680887183,8,2,559.76,-1.4022727272727025,4.5191809073567155
10.574465800795457,628.6,25.76445997802367,7,1,559.5,-1.4028571428571581,4.546579381538583
10.764462598552742,628.79,25.436558236089233,7,1,559.26,-1.3921428571428578,4.530823144423789
11.024458216536468,629.05,24.897750082761963,6,2,559.01,-1.413269230769174,4.452956605482274
11.164455856989347,629.19,24.240701457318785,5,3,558.76,-1.4403333333333421,4.33145416198937
11.384452149129345,629.41,24.267324970513126,6,3,558.48,-1.5119047619047024,4.179601218012448
11.564449115425841,629.59,24.107142857142858,6,3,558.15,-1.5676190476190186,3.9913948094397957
11.774445576104934,629.8,24.160654893813604,4,2,557.82,-1.655192307692289,3.803863203459605
12.034441194088659,630.06,24.160654893813604,3,3,557.47,-1.7457380952380959,3.6166845962396126
12.184438666002444,630.21,24.107142857142858,3,3,557.1,-1.8337727272727307,3.4413480606355424
12.37443546375973,630.4,24.133913706987652,3,3,556.73,-1.931363636363642,3.274548462335903
12.584431924438936,630.61,24.293919307228354,3,2,556.34,-1.9813909774435956,3.1282251981323
12.774428722196221,630.8,24.267324970513126,2,2,555.94,-2.0594230769230535,2.986574916244925
13.024424508719044,631.05,24.663229156965222,1,3,555.53,-2.1267307692307895,2.857644858617411
13.174421980632827,631.2,25.027089914567306,0,2,555.09,-2.2123333333332766,2.7378575912098904
13.374418609851018,631.4,25.283784732673293,0,2,554.63,-2.3000000000000114,2.6271824083845137
13.574415239069321,631.6,24.76773483335749,0,1,554.18,-2.434812030075193,2.529013311376089
13.764412036826606,631.79,24.845825625654065,0,2,553.72,-2.5282186234818482,2.4407674968826543
14.024407654810332,632.05,25.181420811416352,0,3,553.23,-2.652999999999963,2.3565031315857965
14.174405126724116,632.2,25.181420811416352,0,4,552.7,-2.770749999999964,2.280142232450745
