report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,roll,vario
7.9347380000000385,435.62,20.892857142857142,3.0124933298216896,-8,1,-2.65
8.134738000000027,435.82,21.85950617475339,2.9958709167799307,-10,2,-2.68
8.344738000000007,436.03,23.094816208714146,2.993982289345392,-9,2,-2.7
8.564738000000034,436.25,23.783542371881904,3.0099240026011427,-10,2,-2.69
8.74473800000004,436.43,23.864853865045976,3.042083560056672,-8,2,-2.64
8.934738000000038,436.62,24.293919307228354,3.091169860700789,-6,3,-2.58
9.124738000000036,436.81,24.53197101826138,3.1561181780186702,-6,3,-2.52
9.344738000000007,437.03,25.258232644556323,3.2299416976873174,-4,3,-2.56
9.564738000000034,437.25,25.46193136782031,3.3106937702684776,-3,3,-2.7
9.74473800000004,437.43,25.512601928122837,3.3983949212287197,3,4,-2.65
9.94473800000003,437.63,25.027089914567306,3.4936708426755936,4,3,-2.6
10.154738000000009,437.84,24.21404867140612,3.5952596830592403,4,2,-2.53
10.354738000000054,438.04,23.891896201047597,3.696660688799938,6,0,-2.45
10.574738000000025,438.26,23.891896201047597,3.797337956132107,3,1,-2.54
10.74473800000004,438.43,24.187366516005657,3.8958806667394312,3,-2,-2.66
10.94473800000003,438.63,25.027089914567306,3.9919021446812986,-2,-2,-2.89
11.144738000000018,438.83,26.08824066548774,4.088038042848398,-5,-1,-3.13
11.334738000000016,439.02,27.345052811528927,4.182441230989712,-7,-1,-3.33
11.574738000000025,439.26,29.06219140718324,4.275778749897015,-9,-5,-3.59
11.74473800000004,439.43,31.142928817086585,4.367643892756094,-11,-5,-3.78
11.94473800000003,439.63,33.99781468067065,4.463776492721939,-10,-6,-3.85
12.134738000000027,439.82,36.36549160387958,4.565135563557363,-8,-6,-3.7
12.344738000000007,440.03,38.285772587908696,4.672304269002999,-8,-5,-3.25
12.564738000000034,440.25,38.31948969932046,4.786875784022337,-6,-4,-2.56
12.73473800000005,440.42,36.77162524922427,4.912082827902624,-3,-3,-1.89
12.934738000000038,440.62,35.375401129910045,5.047603986700576,0,-2,-1.24
13.134738000000027,440.82,35.08212849580137,5.193378191468825,6,-1,-0.78
13.344738000000007,441.03,34.953047953282834,5.351497900366718,9,1,-0.41
13.564738000000034,441.25,35.137303568156966,5.517347034834068,8,2,-0.07
13.74473800000004,441.43,32.42288732437288,5.690173254363833,10,2,0.07
13.95473800000002,441.64,30.259559545332962,5.866496722679137,14,3,0.19
14.154738000000009,441.84,29.459415181858972,6.044191060342515,16,3,0.21
14.344738000000007,442.03,30.066889715147745,6.21691777984288,21,4,0.17
14.574738000000025,442.26,30.28089163084838,6.3833442812319,18,4,0.32
14.754738000000032,442.44,30.28089163084838,6.5375741556651095,18,3,0.37
14.94473800000003,442.63,29.128771543486916,6.67232412876453,17,3,0.3
15.144738000000018,442.83,27.533317016268985,6.779498442543124,17,2,0.14
15.334738000000016,443.02,26.236330259969744,6.86643800041446,14,1,-0.02
15.574738000000025,443.26,24.293919307228354,6.92572021600853,14,-1,-0.18
15.74473800000004,443.43,22.671539967320168,6.956752653525486,8,-2,-0.36
15.94473800000003,443.63,20.830952244882408,6.955225856536738,9,-2,-0.5
16.15473800000001,443.84,19.083764068453792,6.919877864072118,2,-3,-0.7
16.344738000000007,444.03,18.464665649586518,6.866026481250793,-1,-3,-0.79
16.604738000000054,444.29,17.49498834943707,6.794462617208385,-2,-4,-1.02
16.75473800000003,444.44,17.346723062884475,6.704983198857439,-3,-3,-1.2
16.95473800000002,444.64,17.23468708087008,6.595424370004887,-3,-2,-1.47
17.144738000000018,444.83,17.568651784078483,6.471518836035172,-7,-2,-1.68
17.344738000000007,445.03,18.218224364069947,6.346631132584612,-8,-1,-1.87
17.574738000000025,445.26,19.35256271591619,6.224266069206378,-11,0,-2.1
17.75473800000003,445.44,20.455589027182267,6.107762803578598,-11,0,-2.24
17.94473800000003,445.63,21.5920106398035,5.999051570984782,-12,0,-2.3
18.144738000000018,445.83,22.841791719994113,5.897199704613499,-12,1,-2.33
18.334738000000016,446.02,24.267324970513126,5.8038216320111715,-12,1,-2.35
18.574738000000025,446.26,25.537899506899343,5.721633995014898,-9,2,-2.32
18.75473800000003,446.44,26.162390243731668,5.651517641604069,-10,2,-2.22
18.94473800000003,446.63,26.627209595005,5.589734387785599,-8,2,-2.06
19.134738000000027,446.82,27.415803389837112,5.538500176255007,-6,3,-1.84
19.344738000000007,447.03,28.044527732060054,5.494397305319887,-4,3,-1.55
19.564738000000034,447.25,28.136477250018636,5.4565491148706915,-1,2,-1.25
